,word,count
0,龇牙,1
1,第四十一章,1
2,庄户人,1
3,庄户,1
4,第四十三章,1
5,广阔,1
6,广西,1
7,广田,1
8,广漠,1
9,第四十二章,1
10,第四十五章,1
11,第四十四章,1
12,第四十章,1
13,第十章,1
14,幽默诙谐,1
15,幽美,1
16,幽灵,1
17,第四章,1
18,笼络,1
19,幼年时代,1
20,幼儿,1
21,幻象,1
22,幻觉,1
23,幻梦,1
24,等亮,1
25,等等,1
26,答应下来,1
27,幽默,1
28,第十四章,1
29,庄稼汉,1
30,第十六章,1
31,废话,1
32,第二队,1
33,废寝忘食,1
34,庙门开,1
35,店员,1
36,第五天,1
37,应验,1
38,应酬,1
39,第五章,1
40,应答,1
41,应用,1
42,应有尽有,1
43,应有,1
44,第八章,1
45,应付,1
46,第六章,1
47,第十一章,1
48,第十七章,1
49,第十三章,1
50,第十九章,1
51,第十二章,1
52,床单,1
53,第十五章,1
54,床位,1
55,第十八章,1
56,庇护,1
57,庆祝,1
58,幸好,1
59,答腔,1
60,并肩战斗,1
61,答谢,1
62,算算,1
63,平常人,1
64,平市,1
65,平安无恙,1
66,平坦,1
67,平原,1
68,管个,1
69,管保,1
70,干过,1
71,干起,1
72,管吃住,1
73,干老,1
74,管好,1
75,干燥,1
76,干涉,1
77,干柴,1
78,干枯,1
79,干杯,1
80,管它,1
81,干干,1
82,干巴,1
83,管起,1
84,干受,1
85,干出,1
86,干儿,1
87,箱底,1
88,干些,1
89,算盘,1
90,座右铭,1
91,平权,1
92,平汉,1
93,并未,1
94,答非所问,1
95,年龄,1
96,年迈,1
97,年过半百,1
98,年轻漂亮,1
99,筹划,1
100,签名,1
101,年老,1
102,年纪轻轻,1
103,简短地,1
104,年级,1
105,年幼无知,1
106,简称,1
107,年前,1
108,年代,1
109,年事,1
110,平顶,1
111,平静下来,1
112,算不了,1
113,平空,1
114,平添,1
115,算了吧,1
116,算有算,1
117,平汉铁路,1
118,算清,1
119,平汉线,1
120,平民,1
121,干不渴,1
122,座垫,1
123,第二杯,1
124,第一桩,1
125,张莲瑞来,1
126,第一步,1
127,张莲,1
128,张群,1
129,张罗,1
130,张纸,1
131,第一队,1
132,第七天,1
133,张瘦,1
134,张张,1
135,第七章,1
136,张莲瑞顶,1
137,张家口,1
138,第三个,1
139,第三件,1
140,张北,1
141,第三十一章,1
142,弟子,1
143,弟妹们,1
144,弟妹,1
145,弟兄们,1
146,弟兄,1
147,弘达,1
148,第三十七章,1
149,第三十三章,1
150,张大嘴巴,1
151,张说,1
152,第一封,1
153,弯下身,1
154,笑够,1
155,笑头,1
156,当当响,1
157,笑容可掬,1
158,笑江,1
159,笑盈盈,1
160,笑而不答,1
161,当学徒,1
162,当姓,1
163,当头一棒,1
164,当头,1
165,笑谈,1
166,笑静,1
167,笔记簿,1
168,当儿,1
169,当做,1
170,笔迹,1
171,笨腿,1
172,归宿,1
173,笨蛋,1
174,第一件,1
175,强壮,1
176,强国,1
177,弱点,1
178,弯腰,1
179,第一句,1
180,弯弯的,1
181,引得,1
182,第三十九章,1
183,弄饭,1
184,弄糟,1
185,开怀畅饮,1
186,开幕式,1
187,第二件,1
188,开学,1
189,开好,1
190,第二十一章,1
191,开天辟地,1
192,开外,1
193,开口笑,1
194,第二十七章,1
195,第二十三章,1
196,开到,1
197,开列,1
198,开会讨论,1
199,开会研究,1
200,开会地点,1
201,第二十九章,1
202,第二十二章,1
203,第二十五章,1
204,第二十八章,1
205,建造,1
206,第二十六章,1
207,第二十四章,1
208,延长,1
209,第二十章,1
210,第二层,1
211,第二年,1
212,开慢,1
213,座谈,1
214,开放,1
215,开林红,1
216,第三十二章,1
217,弄清,1
218,弄水,1
219,弄死,1
220,弄弄,1
221,第三十五章,1
222,弄回,1
223,弄假成真,1
224,异样,1
225,第三十八章,1
226,异乡,1
227,第三十六章,1
228,第三十四章,1
229,开闸,1
230,开门见山,1
231,第三十章,1
232,第三卷,1
233,开锁,1
234,开遍,1
235,开赴,1
236,开着,1
237,第三种,1
238,第三章,1
239,开火,1
240,第三队,1
241,开步走,1
242,开枪,1
243,第九章,1
244,笑嘻嘻,1
245,箱柜,1
246,幌子,1
247,屋小,1
248,纠纷,1
249,红不青,1
250,红到,1
251,红唇,1
252,屋前,1
253,红头,1
254,屋上,1
255,居然,1
256,红得,1
257,红拉住,1
258,屁送,1
259,屋来,1
260,屁话,1
261,红旗,1
262,屁用,1
263,屁滚尿流,1
264,红枣,1
265,局部利益,1
266,红润,1
267,局促不安,1
268,局促,1
269,尾追,1
270,红烧肉,1
271,尽管如此,1
272,尽早,1
273,屁股后头,1
274,繁荣,1
275,屋点,1
276,屋脊,1
277,紧跟着,1
278,岁月,1
279,屹立,1
280,山里,1
281,山西人,1
282,山西,1
283,山河,1
284,紧逼,1
285,山明水秀,1
286,山摇地动,1
287,山峰,1
288,紧闭,1
289,紫色,1
290,屯见,1
291,屯新,1
292,屯不天,1
293,屠杀,1
294,紫血,1
295,展现,1
296,累不累,1
297,累渴,1
298,累赘,1
299,屋陈,1
300,繁密,1
301,繁忙,1
302,繁星,1
303,屋角,1
304,红着,1
305,尽快,1
306,尽头,1
307,红糖,1
308,少有,1
309,纯爱,1
310,少操,1
311,纱厂,1
312,少女时代,1
313,纱巾,1
314,少光,1
315,纱布,1
316,少不干,1
317,小鼓,1
318,小鸡,1
319,小鱼,1
320,小鬼,1
321,纳着,1
